Name,Brand,Price,Old_price,Discount,Category,Model,Gender,Color,Material,Savings,Brand_Price_Diff,Price_bucket,Is_Premium_Brand
Kinetix IntTronco4Pr,Kinetix,5990.0,13990.0,57.0,Kinetix обувь,INT-TRONCO-4PR,Унисекс,Черный,кожа,8000.0,-7000.0,Budget,0
Kinetix Int1123K128 4Pr,Kinetix,9990.0,19990.0,50.0,Kinetix кроссовки,INT1123K128 4PR,Мужчины,Черный,кожа,10000.0,-3000.0,Budget,0
Kinetix Miton Pu 4Pr,Kinetix,12990.0,17990.0,28.0,Kinetix обувь для бега,MITON PU 4PR,Мальчик,Черный,кожа,5000.0,0.0,Budget,0
Kinetix Focus Pu 4Pr  017,Kinetix,15990.0,18990.0,16.0,Kinetix обувь для бега,FOCUS PU 4PR,Мужчины,Серый,кожа,3000.0,3000.0,Mid-range,0
Puma XRay 2 Square,Puma,37990.0,56990.0,33.0,Puma кроссовки,X-RAY 2 SQUARE,Мужчины,Черный,Текстиль,19000.0,8000.0,Premium,1
Us Polo Assn Rainy Glb 4Pr,U.S. Polo Assn.,11990.0,29990.0,60.0,U.S. Polo Assn. обувь,RAINY GLB 4PR,Женщины,Бежевый,Текстиль,18000.0,-8000.0,Budget,0
Kinetix Magna Pu Hi 4Pr,Kinetix,15990.0,22990.0,30.0,Kinetix обувь,MAGNA PU HI 4PR,Мужчины,Серый,Текстиль,7000.0,3000.0,Mid-range,0
Kinetix Magna Pu Hi 4Pr,Kinetix,17990.0,22990.0,22.0,Kinetix обувь,MAGNA PU HI 4PR,Мальчик,Черный,Текстиль,5000.0,5000.0,Mid-range,0
Kinetix Montoya Pu 4Pr,Kinetix,16490.0,24990.0,34.0,Kinetix обувь для бега,MONTOYA PU 4PR,Мужчины,Черный,кожа,8500.0,3500.0,Mid-range,0
Kinetix LuciferInt 3Pr,Kinetix,10990.0,19990.0,45.0,Kinetix кроссовки,LUCIFER-INT 3PR,Мальчик,Зеленый,кожа,9000.0,-2000.0,Budget,0
Polaris InfernofInt 4Pr,Polaris,8990.0,13990.0,36.0,Polaris обувь,INFERNO.F-INT 4PR,Мальчик,Черный,кожа,5000.0,1000.0,Budget,0
Kinetix NovembrefInt 4Pr,Kinetix,12990.0,14990.0,13.0,Kinetix кроссовки,NOVEMBRE.F-INT 4PR,Мальчик,Белый,кожа,2000.0,0.0,Budget,0
Proshot IntPiranPlr4Pr,PROSHOT,4990.0,12990.0,62.0,PROSHOT кроссовки,INT-PIRAN-PLR-4PR,Мужчины,Белый,кожа,8000.0,-8000.0,Budget,0
